,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
271,bov,VIVA3.SA,VIVARA S.A. ON      NM,27.13,2021-08-17,2021-08-30,13 days 00:00:00.000000000,9.16,2022-01-10,73 days 00:00:00.000000000,22.8,561.54,248.75,-312.79,0.79,-60,-13.63,31.23,22.72,False,True,54.8
272,bov,WIZS3.SA,WIZ S.A.    ON      NM,8.71,2022-01-18,2022-03-24,65 days 00:00:00.000000000,21.0,2022-03-07,17 days 00:00:00.000000000,21.16,26.15,100.76,74.6,1.37,48,-0.16,124.45,-0.33,False,True,77.29
273,bov,SULA3.SA,SUL AMERICA ON      N2,12.04,2021-10-06,2022-02-25,142 days 00:00:00.000000000,51.2,2022-01-24,59 days 00:00:00.000000000,50.54,41.55,98.72,57.17,1.76,83,0.66,85.66,0.79,False,True,54.18
274,bov,SAPR11.SA,SANEPAR     UNT     N2,20.36,2021-03-01,2021-03-25,24 days 00:00:00.000000000,13.02,2022-01-10,73 days 00:00:00.000000000,15.56,304.17,119.46,-184.7,0.64,-49,-2.53,21.31,5.17,False,True,48.25
275,bov,SOJA3.SA,BOA SAFRA   ON      NM,14.07,2022-01-26,2022-03-02,35 days 00:00:00.000000000,11.09,2022-03-24,0 days 00:00:00.000000000,-2.63,0.0,-23.72,-23.72,-0.96,35,13.72,-inf,39.19,True,False,31.9
276,bov,PSSA3.SA,PORTO SEGUROON      NM,20.27,2022-01-24,2022-02-16,23 days 00:00:00.000000000,11.86,2022-03-14,10 days 00:00:00.000000000,4.38,43.48,36.97,-6.5,4.93,13,7.47,43.85,57.49,False,True,44.81
277,bov,FRTA3.SA,POMIFRUTAS  ON      NM,4.68,2021-10-25,2021-12-20,56 days 00:00:00.000000000,7.28,2022-03-21,3 days 00:00:00.000000000,2.53,5.36,34.75,29.39,1.22,53,4.75,84.27,8.96,True,False,45.65
278,bov,CPFE3.SA,CPFL ENERGIAON      NM,33.34,2021-10-22,2022-03-24,153 days 00:00:00.000000000,30.48,2022-01-06,77 days 00:00:00.000000000,27.74,50.33,91.0,40.67,2.29,76,2.74,36.03,3.61,False,True,84.88
279,bov,BBSE3.SA,BBSEGURIDADEON      NM,24.4,2022-01-12,2022-03-24,71 days 00:00:00.000000000,27.9,2022-03-08,16 days 00:00:00.000000000,10.01,22.54,35.86,13.33,2.91,55,17.9,62.54,32.54,False,False,76.88
280,bov,RCSL3.SA,RECRUSUL    ON,3.51,2021-10-21,2022-01-03,74 days 00:00:00.000000000,29.6,2022-03-14,10 days 00:00:00.000000000,11.68,13.51,39.44,25.92,1.58,64,17.93,116.75,28.01,False,True,48.57
