,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
334,futures,ZS=F,"Soybean Futures,May-2022",1690.75,2020-08-10,2022-03-23,590 days 00:00:00.000000000,72.61,2021-11-08,137 days 00:00:00.000000000,35.89,23.22,49.43,26.21,1.96,453,36.72,26.2,8.1,False,True,53.91
335,futures,HE=F,"Lean Hogs Futures,Apr-2022",102.78,2021-09-14,2022-02-22,161 days 00:00:00.000000000,36.86,2021-12-08,106 days 00:00:00.000000000,38.46,65.84,104.34,38.5,2.78,55,-1.6,36.28,-2.91,False,True,57.21
336,futures,LE=F,"Live Cattle Futures,Apr-2022",139.68,2021-06-01,2022-02-22,266 days 00:00:00.000000000,22.38,2022-03-10,14 days 00:00:00.000000000,1.56,5.26,6.98,1.72,9.7,252,20.81,11.16,8.26,False,True,62.7
337,futures,CC=F,Cocoa May 22,2583.0,2021-11-30,2022-02-10,72 days 00:00:00.000000000,19.07,2022-03-15,9 days 00:00:00.000000000,0.64,12.5,3.38,-9.12,0.33,63,18.42,7.16,29.24,False,True,50.1
338,futures,KC=F,Coffee May 22,221.85,2022-01-03,2022-02-16,44 days 00:00:00.000000000,11.45,2022-03-15,9 days 00:00:00.000000000,1.15,20.45,10.06,-10.4,0.88,35,10.3,12.8,29.43,True,False,47.8
339,futures,LBS=F,Lumber May 22,1020.0,2021-11-16,2022-03-03,107 days 00:00:00.000000000,107.15,2022-03-24,0 days 00:00:00.000000000,-3.25,0.0,-3.04,-3.04,-0.75,107,110.41,-inf,103.18,True,False,20.28
340,futures,OJ=F,Orange Juice May 22,149.2,2021-11-04,2022-01-27,84 days 00:00:00.000000000,33.75,2022-02-16,36 days 00:00:00.000000000,11.76,42.86,34.85,-8.01,3.87,48,21.98,32.67,45.8,False,True,51.92
341,futures,DX-Y.NYB,US Dollar/USDX - Index - Cash,98.66,2021-01-05,2022-03-07,426 days 00:00:00.000000000,10.13,2021-05-25,304 days 00:00:00.000000000,9.51,71.36,93.85,22.49,4.37,122,0.62,3.13,0.51,False,True,43.07
342,futures,CL=F,Crude Oil May 22,109.84,2021-08-23,2022-03-08,197 days 00:00:00.000000000,72.83,2021-12-01,114 days 00:00:00.000000000,54.8,57.87,75.24,17.37,4.6,83,18.03,48.07,21.73,False,True,42.68
343,futures,BZ=F,Brent Crude Oil Last Day Financ,116.66,2021-08-23,2022-03-08,197 days 00:00:00.000000000,71.31,2021-12-01,114 days 00:00:00.000000000,54.55,57.87,76.5,18.63,4.34,83,16.76,47.86,20.19,False,True,45.34
344,futures,GF=F,"Feeder Cattle Futures,May-2022",156.77,2022-01-28,2022-02-15,18 days 00:00:00.000000000,6.06,2022-03-10,14 days 00:00:00.000000000,1.79,77.78,29.56,-48.22,0.6,4,4.27,12.8,106.8,False,True,63.77
345,futures,HG=F,Copper May 22,4.73,2021-08-19,2022-03-04,197 days 00:00:00.000000000,19.84,2021-12-15,100 days 00:00:00.000000000,11.66,50.76,58.78,8.02,8.37,97,8.18,11.66,8.43,False,True,50.79
346,futures,HO=F,Heating Oil Apr 22,4.07,2021-08-23,2022-03-08,197 days 00:00:00.000000000,89.01,2021-11-30,115 days 00:00:00.000000000,71.28,58.38,80.08,21.71,3.87,82,17.73,61.98,21.62,False,True,52.24
347,futures,NG=F,Natural Gas Apr 22,5.39,2021-04-06,2021-10-05,182 days 00:00:00.000000000,96.89,2021-12-30,85 days 00:00:00.000000000,49.84,46.7,51.44,4.74,13.77,97,47.05,58.63,48.5,False,True,65.74
348,futures,NQ=F,Nasdaq 100 Jun 22,14740.0,2021-10-04,2021-11-19,46 days 00:00:00.000000000,11.72,2022-03-14,11 days 00:00:00.000000000,10.55,23.91,90.04,66.13,1.38,35,1.17,95.92,3.33,False,True,70.87
349,futures,PA=F,Palladium Jun 22,2532.5,2021-12-16,2022-03-04,78 days 00:00:00.000000000,68.61,2022-03-24,1 days 00:00:00.000000000,0.68,1.28,0.99,-0.29,0.77,77,67.93,67.88,88.23,True,False,30.87
350,futures,RB=F,RBOB Gasoline Apr 22,3.33,2021-09-09,2022-03-08,180 days 00:00:00.000000000,58.41,2021-12-01,114 days 00:00:00.000000000,55.51,63.33,95.04,31.7,3.1,66,2.9,48.7,4.39,False,True,43.16
351,futures,RTY=F,E-mini Russell 2000 Index Futur,2068.5,2021-08-19,2021-11-08,81 days 00:00:00.000000000,12.89,2022-01-27,57 days 00:00:00.000000000,5.34,70.37,41.42,-28.96,1.38,24,7.55,9.37,31.47,False,True,67.24
352,futures,SB=F,Sugar #11 May 22,19.37,2021-09-27,2021-11-17,51 days 00:00:00.000000000,7.12,2022-02-25,28 days 00:00:00.000000000,5.76,54.9,80.91,26.01,3.24,23,1.36,20.57,5.91,False,True,51.85
353,futures,SI=F,Silver May 22,25.88,2021-09-29,2022-03-08,160 days 00:00:00.000000000,19.8,2021-12-15,100 days 00:00:00.000000000,18.09,62.5,91.36,28.86,3.28,60,1.71,18.09,2.85,False,True,51.1
354,futures,SIL=F,"Micro Silver Futures,May-2022",25.88,2021-09-29,2022-03-08,160 days 00:00:00.000000000,19.8,2021-12-15,100 days 00:00:00.000000000,18.09,62.5,91.36,28.86,3.28,60,1.71,18.09,2.85,False,True,51.1
355,futures,YM=F,Mini Dow Jones Indus.-$5 Jun 22,34594.0,2021-09-30,2022-01-04,96 days 00:00:00.000000000,7.05,2022-03-08,17 days 00:00:00.000000000,5.46,17.71,77.41,59.7,1.32,79,1.59,32.1,2.02,False,True,73.32
356,futures,ZB=F,"U.S. Treasury Bond Futures,Jun-",149.25,2022-02-15,2022-03-07,20 days 00:00:00.000000000,3.85,2022-03-25,0 days 00:00:00.000000000,-0.06,0.0,-1.63,-1.63,-0.62,20,3.92,-inf,19.59,True,False,24.13
357,futures,ZF=F,Five-Year US Treasury Note Futu,114.89,2021-07-13,2021-08-03,21 days 00:00:00.000000000,0.67,2022-03-25,0 days 00:00:00.000000000,-0.46,0.0,-68.9,-68.9,-0.99,21,1.13,-inf,5.37,True,False,9.32
358,futures,CT=F,Cotton May 22,131.36,2021-12-20,2022-03-25,95 days 00:00:00.000000000,21.13,2022-03-10,15 days 00:00:00.000000000,7.96,15.79,37.66,21.87,1.8,80,13.17,53.05,16.46,False,True,70.42
359,futures,ES=F,E-Mini S&P 500 Jun 22,4509.0,2021-10-04,2022-01-03,91 days 00:00:00.000000000,9.94,2022-03-08,17 days 00:00:00.000000000,7.27,18.68,73.1,54.42,1.37,74,2.67,42.75,3.61,False,True,72.17
360,futures,ZN=F,"10-Year T-Note Futures,Jun-2022",122.83,2021-03-31,2021-08-02,124 days 00:00:00.000000000,2.89,2022-03-25,0 days 00:00:00.000000000,-0.08,0.0,-2.64,-2.64,-0.73,124,2.97,-inf,2.39,True,False,9.02
361,futures,ZT=F,"2-Year T-Note Futures,Jun-2022",106.12,2021-08-24,2021-09-03,10 days 00:00:00.000000000,0.07,2022-03-25,0 days 00:00:00.000000000,-0.55,0.0,-780.21,-780.21,-1.0,10,0.62,-inf,6.24,False,False,5.56
362,futures,BTC=F,"Bitcoin Futures,Mar-2022",44240.0,2021-09-29,2021-11-09,41 days 00:00:00.000000000,51.3,2022-02-03,50 days 00:00:00.000000000,20.3,121.95,39.57,-82.38,0.47,-9,31.0,40.6,-344.44,False,True,70.95
