,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
317,etf,ECOO11.SA,ISHARES ECOOCI,95.38,2021-03-08,2021-06-07,91 days,11.1,2022-01-10,14 days,5.08,15.38,45.76,30.37,1.56,77,6.02,36.28,7.82,False,True
318,etf,IVVB11.SA,ISHARE SP500CI,259.42,2020-12-17,2021-12-29,377 days,39.78,2022-01-24,0 days,-0.61,0.0,-1.52,1.52,-2.92,377,40.39,-inf,10.71,False,False
319,etf,MATB11.SA,IT NOW IMAT CI,61.23,2021-06-17,2021-07-13,26 days,7.02,2021-11-05,80 days,19.14,307.69,272.56,35.13,7.98,-54,-12.12,23.93,22.45,True,False
320,etf,XINA11.SA,TREND CHINA CI,8.37,2021-07-27,2021-10-21,86 days,11.85,2022-01-24,0 days,-1.53,0.0,-12.91,12.91,-1.08,86,13.38,-inf,15.56,True,False
321,etf,GOLD11.SA,TREND OURO  CI,10.78,2021-07-02,2021-11-19,140 days,15.02,2021-08-10,167 days,11.42,119.29,76.01,43.28,1.8,-27,3.6,6.84,-13.35,True,False
322,etf,SPXI11.SA,IT NOW SPXI CI,257.66,2020-09-21,2021-12-29,464 days,45.26,2022-01-21,3 days,-0.39,0.65,-0.86,1.5,-1.7,461,45.65,-12.9,9.9,True,False
323,etf,BCHI39.SA,MSCI CHINA  DRN,42.56,2021-07-27,2021-10-21,86 days,12.99,2022-01-24,0 days,-2.21,0.0,-16.99,16.99,-1.06,86,15.19,-inf,17.66,False,False
324,etf,BIAU39.SA,GOLD TRUST  DRN,48.26,2021-07-02,2022-01-05,187 days,13.59,2021-12-08,47 days,1.18,25.13,8.65,16.48,0.56,140,12.41,2.5,8.87,True,False
325,futures,GC=F,Gold Feb 22,1841.7,2021-09-29,2021-11-17,49 days,7.56,2021-12-02,53 days,3.43,108.16,45.43,62.73,0.74,-4,4.12,6.48,-103.11,False,True
326,futures,MGC=F,"Micro Gold Futures,Apr-2022",1841.7,2021-09-29,2021-11-17,49 days,7.58,2021-12-02,53 days,3.43,108.16,45.31,62.86,0.73,-4,4.15,6.48,-103.65,False,True
